field,campaign_canonical,campaign_start_year,well_canonical,actual_usd,predicted_usd,error_usd,abs_error_usd,ape_pct,method
DARAJAT,DARAJAT_2022,2022,DRJ-38,4129003.450000,4770942.085000,641938.635000,641938.635000,15.5471,historical_median_peer
DARAJAT,DARAJAT_2022,2022,DRJ-49,5471649.860000,4700181.835000,-771468.025000,771468.025000,14.0994,historical_median_peer
DARAJAT,DARAJAT_2022,2022,DRJ-50,4641686.090000,4770942.085000,129255.995000,129255.995000,2.7847,historical_median_peer
DARAJAT,DARAJAT_2022,2022,DRJ-51,4758677.580000,4712446.340000,-46231.240000,46231.240000,0.9715,historical_median_peer
DARAJAT,DARAJAT_2022,2022,DRJ-52,4019259.870000,4770942.085000,751682.215000,751682.215000,18.7020,historical_median_peer
DARAJAT,DARAJAT_2023_2024,2023,DRJ-53,3870858.630000,4641686.090000,770827.460000,770827.460000,19.9136,historical_median_peer
DARAJAT,DARAJAT_2023_2024,2023,DRJ-54,5439314.230000,4641686.090000,-797628.140000,797628.140000,14.6641,historical_median_peer
DARAJAT,DARAJAT_2023_2024,2023,DRJ-55,4783206.590000,4641686.090000,-141520.500000,141520.500000,2.9587,historical_median_peer
DARAJAT,DARAJAT_2023_2024,2023,DRJ-56,7350331.440000,4641686.090000,-2708645.350000,2708645.350000,36.8507,historical_median_peer
DARAJAT,DARAJAT_2023_2024,2023,DRJ-57,4997660.930000,4641686.090000,-355974.840000,355974.840000,7.1228,historical_median_peer
DARAJAT,DARAJAT_2023_2024,2023,DRJ-STEAM 1,397878.190000,4641686.090000,4243807.900000,4243807.900000,1066.6098,historical_median_peer
SALAK,SALAK_2025_2026,2025,AWI 2-6,2349817.850000,3850993.180000,1501175.330000,1501175.330000,63.8848,historical_median_peer
SALAK,SALAK_2025_2026,2025,AWI 2-7 ML,5015797.220000,3563419.785000,-1452377.435000,1452377.435000,28.9561,historical_median_peer
SALAK,SALAK_2025_2026,2025,AWI 21-7,3600514.290000,3813898.675000,213384.385000,213384.385000,5.9265,historical_median_peer
SALAK,SALAK_2025_2026,2025,AWI 21-8,3526325.280000,3850993.180000,324667.900000,324667.900000,9.2070,historical_median_peer
SALAK,SALAK_2025_2026,2025,AWI 23-1,5354184.600000,3563419.785000,-1790764.815000,1790764.815000,33.4461,historical_median_peer
SALAK,SALAK_2025_2026,2025,AWI 23-2,4778917.840000,3563419.785000,-1215498.055000,1215498.055000,25.4346,historical_median_peer
SALAK,SALAK_2025_2026,2025,AWI 3-9,4101472.070000,3563419.785000,-538052.285000,538052.285000,13.1185,historical_median_peer
SALAK,SALAK_2025_2026,2025,AWI 9-10,127785.650000,3850993.180000,3723207.530000,3723207.530000,2913.6351,historical_median_peer
SALAK,SALAK_2025_2026,2025,AWI 9-11,138641.190000,3850993.180000,3712351.990000,3712351.990000,2677.6689,historical_median_peer
