campaign_canonical,campaign_raw,campaign_code_canonical,campaign_code_raw,asset_canonical,asset_raw,source_file,source_sheet,ambiguity_flag,ambiguity_note
SALAK 2025,SLK 2025,,,SALAK,SLK,20260327_WBS_Data.xlsx,Data.Summary,no,
DARAJAT 2022,DRJ 2022,,,DARAJAT,DRJ,20260327_WBS_Data.xlsx,Data.Summary,no,
DARAJAT 2023,DRJ 2023,,,DARAJAT,DRJ,20260327_WBS_Data.xlsx,Data.Summary,no,
DARAJAT 2024,DRJ 2024,,,DARAJAT,Darajat,20260327_WBS_Data.xlsx,WellView.Data,no,
2021 SALAK,2021 Salak,,,SALAK,Salak,20260327_WBS_Data.xlsx,2. Drilling.Data.History,no,
2025 SALAK,2025 Salak,,,SALAK,Salak,20260327_WBS_Data.xlsx,2. Drilling.Data.History,no,
2022 DARAJAT,2022 Darajat,,,DARAJAT,Darajat,20260327_WBS_Data.xlsx,2. Drilling.Data.History,no,
2019 DARAJAT,2019 Darajat,,,DARAJAT,Darajat,20260327_WBS_Data.xlsx,2. Drilling.Data.History,no,
2024 DARAJAT,2024 DARAJAT,,,DARAJAT,Darajat,20260327_WBS_Data.xlsx,2. Drilling.Data.History,no,
2025 HAMIDING PSPE,2025 Hamiding PSPE,,,HAMIDING,Hamiding,20260327_WBS_Data.xlsx,2. Drilling.Data.History,no,
2018 WAYANG WINDU,2018 Wayang Windu,,,WAYANG WINDU,Wayang Windu,20260327_WBS_Data.xlsx,2. Drilling.Data.History,no,
2020 WAYANG WINDU,2020 Wayang Windu,,,WAYANG WINDU,Wayang Windu,20260327_WBS_Data.xlsx,2. Drilling.Data.History,no,
WAYANG WINDU CAMPAIGN 2018/2019,Wayang Windu Campaign 2018/2019,E500-2-0-8501-185003,E500-2-0-8501-185003,,,20260327_WBS_Data.xlsx,Drilled.Well,no,
DARAJAT CAMPAIGN 2019,Darajat Campaign 2019,E530-30101-D19001,E530-30101-D19001,,,20260327_WBS_Data.xlsx,Drilled.Well,no,
WAYANG WINDU CAMPAIGN 2020/2021,Wayang Windu Campaign 2020/2021,E500-30101-D205011,E500-30101-D205011,,,20260327_WBS_Data.xlsx,Drilled.Well,no,
SALAK CAMPAIGN 2021,Salak Campaign 2021,E540-30101-D20001,E540-30101-D20001,,,20260327_WBS_Data.xlsx,Drilled.Well,no,
DARAJAT CAMPAIGN 2022,Darajat Campaign 2022,E530-30101-D225301,E530-30101-D225301,,,20260327_WBS_Data.xlsx,Drilled.Well,no,
DARAJAT CAMPAIGN 2023/2024,Darajat Campaign 2023/2024,E530-30101-D235301,E530-30101-D235301,,,20260327_WBS_Data.xlsx,Drilled.Well,no,
SALAK CAMPAIGN 2025/2026,Salak Campaign 2025/2026,E540-30101-D245401,E540-30101-D245401,,,20260327_WBS_Data.xlsx,Drilled.Well,no,
