field,campaign_canonical,well_canonical,actual_usd
DARAJAT,DARAJAT_2019,DRJ-44,4215619.740000
DARAJAT,DARAJAT_2019,DRJ-45,6556112.000000
DARAJAT,DARAJAT_2019,DRJ-46,5969151.750000
DARAJAT,DARAJAT_2019,DRJ-47,4803794.980000
DARAJAT,DARAJAT_2019,DRJ-48,5579101.810000
DARAJAT,DARAJAT_2022,DRJ-38RD,3912215.740000
DARAJAT,DARAJAT_2022,DRJ-49,4782876.200000
DARAJAT,DARAJAT_2022,DRJ-50,4066803.200000
DARAJAT,DARAJAT_2022,DRJ-51,4198483.240000
DARAJAT,DARAJAT_2022,DRJ-52,3507245.670000
DARAJAT,DARAJAT_2023_2024,DRJ-53,3609573.610000
DARAJAT,DARAJAT_2023_2024,DRJ-54,5189554.630000
DARAJAT,DARAJAT_2023_2024,DRJ-55,4359943.090000
DARAJAT,DARAJAT_2023_2024,DRJ-56,6925978.210000
DARAJAT,DARAJAT_2023_2024,DRJ-57,4562998.050000
SALAK,SALAK_2021,AWI 16-8,5460023.530000
SALAK,SALAK_2021,AWI 16-9,3058905.850000
SALAK,SALAK_2021,AWI 21-5,3111812.780000
SALAK,SALAK_2021,AWI 21-6,2149748.710000
SALAK,SALAK_2021,AWI 9-10,3605873.020000
SALAK,SALAK_2025_2026,AWI 2-6,2329448.860000
SALAK,SALAK_2025_2026,AWI 2-7 ML,4720721.520000
SALAK,SALAK_2025_2026,AWI 21-7,3183804.750000
SALAK,SALAK_2025_2026,AWI 21-8,3187325.840000
SALAK,SALAK_2025_2026,AWI 23-1,4879940.390000
SALAK,SALAK_2025_2026,AWI 23-2,4325740.790000
SALAK,SALAK_2025_2026,AWI 3-9,3669854.190000
SALAK,SALAK_2025_2026,AWI 9-10 RD,45127.740000
SALAK,SALAK_2025_2026,AWI 9-11,111301.310000
